ID,FN,LN,CT,ST,ZP,S1,S2,EM,BD
0,Elmer,Desai,"RYLAND HGHT",KY,41015,"1760 Carnation Avenue","Apt #202",EDesai@iname.com,11/15/1944
1,Benjamin,Bronte,"BLUE RAPIDS",KS,66411,"5211 Tern Loop",,Benjamin.Bronte@gmail.com,4/12/2001
2,Krisha,Mull,"WEST CHESTER",OH,45014,"4956 Magnolia Drive",,KMull@aol.com,11/28/1991
3,Bessie,Fouts,LEBANON,SD,57455,"8429 Poinsettia Circle",,Bessie_Fouts@usa.com,5/9/1958
4,Addie,Montgomery,NECEDAH,WI,54646,"2026 Coral Street",,Addie_Montgomery@earthlink.net,
5,Zayn,Bodiford,UNIONVILLE,NC,28110,"2876 Coneflower Way",,ZBodiford@mail.com,
6,Frederick,Mitchell,TICKFAW,LA,70466,"4566 Cockatiel Way",,FMitchell@techie.com,
7,Jons,Mapp,SECANE,PA,19018,"2029 Pigeon Loop",,Jons.Mapp@hotmail.com,12/17/1998
8,Nimit,Woodsworth,INDEPENDENCE,MO,64050,"7727 Poinsettia Loop","Apt #211",NWoodsworth@iname.com,
9,Kehlani,Sutherland,ORLANDO,FL,32825,"9452 Serviceberry Avenue",,Kehlani_Sutherland@yahoo.com,3/10/1947
10,Cynthia,Ma,ATHENS,TX,75752,"4624 Pansy Lane",,CMa@yahoo.com,11/8/2004
11,Karter,Kuri,CROSSROADS,TX,76227,"1692 Alyssum Street",,Karter.Kuri@yahoo.com,11/10/1969
12,Asmee,Ensely,MOBILE,AL,36608,"5592 Coconut Avenue",,Asmee_Ensely@aol.com,
13,Moses,Beegadkai,"BIGGS FIELD",TX,79908,"1136 Macaw Road",,Moses.Beegadkai@iname.com,1/22/1947
14,Jax,Thompson,YANKEETOWN,FL,34498,"4590 Bleeding Heart Street",,JThompson@myself.com,7/13/1952
15,Anika,Ullagaddi,FONTANA,WI,53125,"537 Winter Jasmine Way",,Anika.Ullagaddi@comcast.net,
16,Colton,Ng,CENTREVILLE,MS,39631,"9599 Grandiose Avenue",,CNg@mail.com,3/8/1952
17,Virgil,Patrick,FROSTBURG,PA,15767,"7894 Fairywren Lane","Apt #172",Virgil.Patrick@comcast.net,5/16/1965
18,Ross,Brahms,TIONESTA,CA,96134,"7494 Impatiens Circle",,Ross.Brahms@contractor.net,6/22/1986
19,Lyla,Washington,HURST,TX,76054,"8197 Impatiens Circle",,LWashington@mail.com,
20,Mattie,Keffer,HENDERSON,NE,68371,"4642 Frying Pan Drive",,Mattie.Keffer@contractor.net,
21,Jordyn,Huang,DONNA,TX,78537,"5147 Hydrangea Drive",,Jordyn.Huang@yahoo.com,
22,Columbus,Edmunds,TUSCALOOSA,AL,35406,"5817 Goose Way","Apt #131",CEdmunds@yahoo.com,
23,Aj,Starkweather,"MUDDY GAP",WY,82301,"1319 Sassafras Circle",,Aj_Starkweather@usa.com,2/6/1993
24,Anthony,Chua,HADLEY,KY,42101,"9430 Idaho Way",,Anthony_Chua@earthlink.net,10/2/1983
25,Lelia,Sengupta,UNIONDALE,NY,11553,"9144 Emu Street",,LSengupta@contractor.net,
26,Connor,Capote,"BRANT LAKE",NY,12815,"362 North Carolina Street",,Connor_Capote@suddenlink.net,11/14/1960
27,Tristan,Murthy,WARSAW,OH,43844,"4382 Bellflower Road",,Tristan_Murthy@earthlink.net,3/11/2000
28,Valerie,Rawlings,ROANN,IN,46974,"7298 Flowering Gum Alley",,VRawlings@comcast.net,
29,Daniel,Koh,BEASON,IL,62512,"1189 Impatiens Drive","Apt #172",Daniel.Koh@aol.com,10/12/1983
30,Emilia,Deb,CLEARWATER,FL,33764,"3395 Marigold Avenue",,Emilia.Deb@suddenlink.net,12/4/1941
31,Julia,Edwards,FROID,MT,59226,"1954 Lavendar Street",,Julia_Edwards@hotmail.com,11/8/1988
32,Asher,Pawar,"FORT MCNAIR",DC,20024,"4487 Grape Hyacinth Road",,Asher_Pawar@aol.com,8/13/1948
33,Jim,Higgins,"CP BEAUREGARD",LA,71360,"5797 Loch Ness Loop",,Jim.Higgins@iname.com,7/10/1979
34,Charlie,Lavoie,"W VALLEY CITY",UT,84128,"3894 Elm Alley","Apt #173",Charlie_Lavoie@comcast.net,3/26/1951
